time,elapsed_seconds,message
13:42:35,1.35e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,6.4e-06,JS
13:42:35,8.2e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
13:42:35,1.62e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,5.4e-06,commencing SVD factorization of lambda-scaled JtQJ
13:42:35,4.9e-06,starting REDSVD
13:42:35,2.83e-05,retrieving REDSVD components
13:42:35,9.7e-06,triming REDSVD components to 5elements
13:42:35,7.5e-06,done REDSVD
13:42:35,5.9e-06,SVD factorization complete
13:42:35,0.0001066,commencing linear algebra multiplication to compute ugrade
13:42:35,7.5e-06,S info: rows = 13: cols = 13: size = 169: nonzeros = 6Vt info: rows = 5: cols = 13: size = 65: nonzeros = 30
13:42:35,2.78e-05,U info: rows = 13: cols = 5: size = 65: nonzeros = 30
13:42:35,9.4e-06,jac info: rows = 35: cols = 13: size = 455: nonzeros = 94
13:42:35,2.16e-05,linear algebra multiplication to compute ugrade complete
13:42:35,1.82e-05,commencing check of parameter bounds and gradients
13:42:35,9.9e-06,commencing calculation of upgrade vector
13:42:35,8.08e-05,forming JtQJ matrix
13:42:35,1.46e-05,commencing to scale JtQJ matrix- first SVD...
13:42:35,5.8e-06,starting REDSVD
13:42:35,2.77e-05,retrieving REDSVD components
13:42:35,9.3e-06,triming REDSVD components to 5elements
13:42:35,7.4e-06,done REDSVD
13:42:35,1.32e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,5.7e-06,JS
13:42:35,7.8e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
13:42:35,1.65e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,5.4e-06,commencing SVD factorization of lambda-scaled JtQJ
13:42:35,5.5e-06,starting REDSVD
13:42:35,2.83e-05,retrieving REDSVD components
13:42:35,1.04e-05,triming REDSVD components to 5elements
13:42:35,6.6e-06,done REDSVD
13:42:35,7.8e-06,SVD factorization complete
13:42:35,0.0001254,commencing linear algebra multiplication to compute ugrade
13:42:35,7.9e-06,S info: rows = 13: cols = 13: size = 169: nonzeros = 6Vt info: rows = 5: cols = 13: size = 65: nonzeros = 30
13:42:35,6.6e-06,U info: rows = 13: cols = 5: size = 65: nonzeros = 30
13:42:35,6.5e-06,jac info: rows = 35: cols = 13: size = 455: nonzeros = 94
13:42:35,2.11e-05,linear algebra multiplication to compute ugrade complete
13:42:35,1.71e-05,commencing check of parameter bounds
13:42:35,6.9e-06,limiting out of bounds pars
13:42:35,1.46e-05,change limit/bound enforement for lambda 100: upper change limit,AWC, scaling factor: 0.00228344
13:42:35,0.0004976,checking for denormal floating point values
13:42:35,8.3e-06,transforming upgrade pars to model pars
13:42:35,7.6e-06,writing upgrade vector to csv file
13:42:35,0.0001478,beginning upgrade vector calculations, lambda = 1000
13:42:35,0.0001133,commencing calculation of upgrade vector
13:42:35,8.54e-05,forming JtQJ matrix
13:42:35,1.53e-05,commencing to scale JtQJ matrix- first SVD...
13:42:35,5.8e-06,starting REDSVD
13:42:35,2.86e-05,retrieving REDSVD components
13:42:35,9.7e-06,triming REDSVD components to 5elements
13:42:35,7.5e-06,done REDSVD
13:42:35,1.34e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,5.1e-06,JS
13:42:35,7.7e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
13:42:35,1.63e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,5.4e-06,commencing SVD factorization of lambda-scaled JtQJ
13:42:35,5.1e-06,starting REDSVD
13:42:35,2.77e-05,retrieving REDSVD components
13:42:35,9e-06,triming REDSVD components to 5elements
13:42:35,8.1e-06,done REDSVD
13:42:35,5.8e-06,SVD factorization complete
13:42:35,0.0001083,commencing linear algebra multiplication to compute ugrade
13:42:35,6.9e-06,S info: rows = 13: cols = 13: size = 169: nonzeros = 6Vt info: rows = 5: cols = 13: size = 65: nonzeros = 30
13:42:35,6.8e-06,U info: rows = 13: cols = 5: size = 65: nonzeros = 30
13:42:35,7e-06,jac info: rows = 35: cols = 13: size = 455: nonzeros = 94
13:42:35,1.99e-05,linear algebra multiplication to compute ugrade complete
13:42:35,1.71e-05,commencing check of parameter bounds and gradients
13:42:35,8.5e-06,commencing calculation of upgrade vector
13:42:35,7.77e-05,forming JtQJ matrix
13:42:35,1.35e-05,commencing to scale JtQJ matrix- first SVD...
13:42:35,5.3e-06,starting REDSVD
13:42:35,3.33e-05,retrieving REDSVD components
13:42:35,9.8e-06,triming REDSVD components to 5elements
13:42:35,7.5e-06,done REDSVD
13:42:35,1.22e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,5.3e-06,JS
13:42:35,7.3e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
13:42:35,1.59e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6
13:42:35,4.73e-05,commencing SVD factorization of lambda-scaled JtQJ
13:42:35,9.6e-06,starting REDSVD
13:42:35,3.06e-05,retrieving REDSVD components
13:42:35,9.7e-06,triming REDSVD components to 5elements
13:42:35,7.3e-06,done REDSVD
13:42:35,6.8e-06,SVD factorization complete
13:42:35,0.0001027,commencing linear algebra multiplication to compute ugrade
13:42:35,1.04e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 6Vt info: rows = 5: cols = 13: size = 65: nonzeros = 30
13:42:35,6.8e-06,U info: rows = 13: cols = 5: size = 65: nonzeros = 30
13:42:35,6.8e-06,jac info: rows = 35: cols = 13: size = 455: nonzeros = 94
13:42:35,2.31e-05,linear algebra multiplication to compute ugrade complete
13:42:35,2.88e-05,commencing check of parameter bounds
13:42:35,7.5e-06,limiting out of bounds pars
13:42:35,1.53e-05,change limit/bound enforement for lambda 1000: upper change limit,EPCO, scaling factor: 0.00734122
13:42:35,0.0005035,checking for denormal floating point values
13:42:35,8.8e-06,transforming upgrade pars to model pars
13:42:35,7.7e-06,writing upgrade vector to csv file
13:42:35,0.0005028,LinearAnalysis::glm_iter_fosm
13:42:35,6.29e-05,starting FOSM uncertainty analyses for iteration 0
13:42:35,0.0007759,loading obscov
13:42:35,4.39e-05,loading parcov
13:42:35,3.06e-05,set_predictions
13:42:35,2.04e-05,parameter fosm calcs
13:42:35,1.2e-05,LinearAnalysis::calc_posterior
13:42:35,5.5e-06,LinearAnalysis::align
13:42:35,9.41e-05,LinearAnalysis::prior_prediction_variance()::invert obscov
13:42:35,9e-06,inverting diagonal matrix in place
13:42:35,8.3e-06,LinearAnalysis::calc_posterior() form JtQJ
13:42:35,3.55e-05,LinearAnalysis::calc_posterior() invert prior parcov
13:42:35,3.05e-05,LinearAnalysis::calc_posterior() form posterior parcov
13:42:35,1.15e-05,LinearAnalysis::calc_posterior() invert posterior parcov
13:42:35,6.3e-06,inverting non-diagonal matrix in place
13:42:49,14.397,completed iteration 1
13:42:49,0.0121293,beginning iteration 2
13:42:49,0.0001103,commencing to build jacobian parameter sets
13:42:49,0.0012531,jacobian parameter sets built, commencing model runs
13:43:05,15.3725,jacobian runs complete, processing runs
13:43:05,0.000331,processing jacobian runs complete
13:43:05,8.4e-06,saving jacobian and sen files
13:43:05,0.0011134,commencing calculation of upgrade vector
13:43:05,0.0001059,forming JtQJ matrix
13:43:05,1.82e-05,commencing to scale JtQJ matrix- first SVD...
13:43:05,6.5e-06,starting REDSVD
13:43:05,3.78e-05,retrieving REDSVD components
13:43:05,1.1e-05,triming REDSVD components to 5elements
13:43:05,7.3e-06,done REDSVD
13:43:05,1.36e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 5
13:43:05,5e-06,JS
13:43:05,8.1e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
13:43:05,1.68e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 5
13:43:05,5.2e-06,commencing SVD factorization of lambda-scaled JtQJ
13:43:05,5e-06,starting REDSVD
13:43:05,2.92e-05,retrieving REDSVD components
13:43:05,8.4e-06,triming REDSVD components to 4elements
13:43:05,6.3e-06,done REDSVD
13:43:05,5.2e-06,SVD factorization complete
13:43:05,0.0001525,commencing linear algebra multiplication to compute ugrade
13:43:05,8.8e-06,S info: rows = 13: cols = 13: size = 169: nonzeros = 5Vt info: rows = 4: cols = 13: size = 52: nonzeros = 20
13:43:05,7.3e-06,U info: rows = 13: cols = 4: size = 52: nonzeros = 20
13:43:05,6.6e-06,jac info: rows = 35: cols = 13: size = 455: nonzeros = 82
13:43:05,2.05e-05,linear algebra multiplication to compute ugrade complete
13:43:05,2.01e-05,commencing check of parameter bounds and gradients
13:43:05,0.0009329,beginning upgrade vector calculations, lambda = 0.1
13:43:05,6.16e-05,commencing calculation of upgrade vector
13:43:05,9.05e-05,forming JtQJ matrix
13:43:05,1.54e-05,commencing to scale JtQJ matrix- first SVD...
13:43:05,5.8e-06,starting REDSVD
13:43:05,3.02e-05,retrieving REDSVD components
13:43:05,9.3e-06,triming REDSVD components to 5elements
13:43:05,6.9e-06,done REDSVD
13:43:05,1.27e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 5
13:43:05,2.95e-05,JS
13:43:05,1.13e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
13:43:05,1.72e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 5
13:43:05,5.5e-06,commencing SVD factorization of lambda-scaled JtQJ
13:43:05,5.1e-06,starting REDSVD
13:43:05,3.07e-05,retrieving REDSVD components
13:43:05,8.8e-06,triming REDSVD components to 5elements
13:43:05,8e-06,done REDSVD
13:43:05,5.6e-06,SVD factorization complete
13:43:05,9.97e-05,commencing linear algebra multiplication to compute ugrade
13:43:05,7.2e-06,S info: rows = 13: cols = 13: size = 169: nonzeros = 5Vt info: rows = 5: cols = 13: size = 65: nonzeros = 25
13:43:05,6.7e-06,U info: rows = 13: cols = 5: size = 65: nonzeros = 25
13:43:05,6.6e-06,jac info: rows = 35: cols = 13: size = 455: nonzeros = 82
13:43:05,1.94e-05,linear algebra multiplication to compute ugrade complete
13:43:05,1.78e-05,commencing check of parameter bounds and gradients
13:43:05,8.1e-06,commencing calculation of upgrade vector
13:43:05,7.94e-05,forming JtQJ matrix
13:43:05,1.33e-05,commencing to scale JtQJ matrix- first SVD...
13:43:05,5.4e-06,starting REDSVD
13:43:05,2.76e-05,retrieving REDSVD components
13:43:05,8.3e-06,triming REDSVD components to 5elements
13:43:05,7.5e-06,done REDSVD
13:43:05,1.21e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 5
13:43:05,5e-06,JS
13:43:05,7.4e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
13:43:05,1.49e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 5
13:43:05,5.1e-06,commencing SVD factorization of lambda-scaled JtQJ
13:43:05,4.8e-06,starting REDSVD
13:43:05,2.86e-05,retrieving REDSVD components
13:43:05,8.1e-06,triming REDSVD components to 5elements
13:43:05,5.7e-06,done REDSVD
13:43:05,5.3e-06,SVD factorization complete
13:43:05,9.97e-05,commencing linear algebra multiplication to compute ugrade
13:43:05,6.8e-06,S info: rows = 13: cols = 13: size = 169: nonzeros = 5Vt info: rows = 5: cols = 13: size = 65: nonzeros = 25
13:43:05,6.5e-06,U info: rows = 13: cols = 5: size = 65: nonzeros = 25
13:43:05,6.5e-06,jac info: rows = 35: cols = 13: size = 455: nonzeros = 82
13:43:05,1.77e-05,linear algebra multiplication to compute ugrade complete
13:43:05,1.68e-05,commencing check of parameter bounds
13:43:05,6.8e-06,limiting out of bounds pars
13:43:05,1.64e-05,change limit/bound enforement for lambda 0.1: upper change limit,AWC, scaling factor: 4.54913e-36
13:43:05,0.0004568,checking for denormal floating point values
13:43:05,8.6e-06,transforming upgrade pars to model pars
13:43:05,7.4e-06,writing upgrade vector to csv file
13:43:05,0.0002281,beginning upgrade vector calculations, lambda = 1
13:43:05,5.33e-05,commencing calculation of upgrade vector
13:43:05,8.62e-05,forming JtQJ matrix
13:43:05,1.39e-05,commencing to scale JtQJ matrix- first SVD...
13:43:05,5.4e-06,starting REDSVD
13:43:05,2.96e-05,retrieving REDSVD components
13:43:05,8.5e-06,triming REDSVD components to 5elements
13:43:05,6.4e-06,done REDSVD
13:43:05,1.2e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 5
13:43:05,5.1e-06,JS
13:43:05,7.5e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
13:43:05,1.49e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 5
13:43:05,5.2e-06,commencing SVD factorization of lambda-scaled JtQJ
13:43:05,4.9e-06,starting REDSVD
13:43:05,2.86e-05,retrieving REDSVD components
13:43:05,8.3e-06,triming REDSVD components to 5elements
13:43:05,7.1e-06,done REDSVD
13:43:05,5.4e-06,SVD factorization complete
13:43:05,0.000126,commencing linear algebra multiplication to compute ugrade
13:43:05,8.1e-06,S info: rows = 13: cols = 13: size = 169: nonzeros = 5Vt info: rows = 5: cols = 13: size = 65: nonzeros = 25
13:43:05,6.8e-06,U info: rows = 13: cols = 5: size = 65: nonzeros = 25
13:43:05,6.6e-06,jac info: rows = 35: cols = 13: size = 455: nonzeros = 82
13:43:05,1.88e-05,linear algebra multiplication to compute ugrade complete
13:43:05,1.74e-05,commencing check of parameter bounds and gradients
13:43:05,2.13e-05,commencing calculation of upgrade vector
13:43:05,7.99e-05,forming JtQJ matrix
13:43:05,1.3e-05,commencing to scale JtQJ matrix- first SVD...
13:43:05,5.6e-06,starting REDSVD
13:43:05,2.77e-05,retrieving REDSVD components
13:43:05,8.6e-06,triming REDSVD components to 5elements
13:43:05,7.5e-06,done REDSVD
13:43:05,1.13e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 5
13:43:05,5.2e-06,JS
13:43:05,7.2e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
13:43:05,1.44e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 5
13:43:05,5e-06,commencing SVD factorization of lambda-scaled JtQJ
13:43:05,4.9e-06,starting REDSVD
13:43:05,2.79e-05,retrieving REDSVD components
13:43:05,8.9e-06,triming REDSVD components to 5elements
13:43:05,6.4e-06,done REDSVD
13:43:05,5.9e-06,SVD factorization complete
13:43:05,0.0001029,commencing linear algebra multiplication to compute ugrade
13:43:05,7.3e-06,S info: rows = 13: cols = 13: size = 169: nonzeros = 5Vt info: rows = 5: cols = 13: size = 65: nonzeros = 25
13:43:05,6.9e-06,U info: rows = 13: cols = 5: size = 65: nonzeros = 25
13:43:05,6.4e-06,jac info: rows = 35: cols = 13: size = 455: nonzeros = 82
13:43:05,1.84e-05,linear algebra multiplication to compute ugrade complete
13:43:05,1.59e-05,commencing check of parameter bounds
13:43:05,6.9e-06,limiting out of bounds pars
13:43:05,1.48e-05,change limit/bound enforement for lambda 1: upper change limit,EPCO, scaling factor: 2.84756e-10
13:43:05,0.0003853,checking for denormal floating point values
13:43:05,1.33e-05,transforming upgrade pars to model pars
13:43:05,8.3e-06,writing upgrade vector to csv file
13:43:05,0.000149,beginning upgrade vector calculations, lambda = 10
13:43:05,0.0024462,commencing calculation of upgrade vector
13:43:05,8.48e-05,forming JtQJ matrix
13:43:05,1.43e-05,commencing to scale JtQJ matrix- first SVD...
13:43:05,5.8e-06,starting REDSVD
13:43:05,2.9e-05,retrieving REDSVD components
13:43:05,8.8e-06,triming REDSVD components to 5elements
13:43:05,6.4e-06,done REDSVD
13:43:05,1.16e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 5
13:43:05,5.4e-06,JS
13:43:05,7.7e-06,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
13:43:05,1.5e-05,S info: rows = 13: cols = 13: size = 169: nonzeros = 5
13:43:05,5.4e-06,commencing SVD factorization of lambda-scaled JtQJ
